"","feat1","feat2","feat3","class"
"1",-0.6508,0.1097,4.0009,-1
"2",-1.4492,0.8896,4.4005,-1
"3",2.085,0.6876,12.071,-1
"4",0.2626,1.1476,7.7985,1
"5",0.6418,1.0234,7.0427,1
"6",0.2569,0.673,8.3265,-1
"7",1.1155,0.6043,7.4446,1
"8",0.0914,0.3399,7.0677,-1
"9",0.0121,0.5256,4.6316,1
"10",-0.0429,0.466,5.4323,1
"11",0.434,0.687,8.2287,-1
"12",0.2735,1.0287,7.1934,1
"13",0.4839,0.4851,7.485,-1
"14",0.4089,-0.1267,5.5019,-1
"15",1.4391,0.1614,8.5843,-1
"16",-0.9115,-0.1973,2.1962,-1
"17",0.3654,1.0475,7.4858,1
"18",0.2144,0.7515,7.1699,1
"19",0.2013,1.0014,6.5489,1
"20",0.6483,0.2183,5.8991,1
"21",-0.1147,0.2242,7.2435,-1
"22",-0.797,0.8795,3.8762,1
"23",-1.0625,0.6366,2.4707,1
"24",0.5307,0.1285,5.6883,1
"25",-1.22,0.7777,1.7252,1
"26",0.3957,0.1076,5.6623,-1
"27",-0.1013,0.5989,7.1812,-1
"28",2.4482,0.9455,11.2095,1
"29",2.0149,0.6192,10.9263,-1
"30",0.2012,0.2611,5.4631,1
